CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,LAT,LON
40384340,FRIEND OF A FARMER,MANHATTAN,77,IRVING PLACE,10003,2124772188,American,03/27/2017,Violations were cited in the following area(s).,04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,23,,,04/09/2018,Cycle Inspection / Initial Inspection,40.73690149999999,-73.98683660000002
41573992,KAIA WINE BAR,MANHATTAN,1614,3 AVENUE,10128,2127220490,African,03/01/2016,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,8,A,03/01/2016,04/09/2018,Cycle Inspection / Re-inspection,40.7818647,-73.9521239
41633315,5 BORO BURGER,MANHATTAN,80,WEST   36 STREET,10018,2125642211,American,02/12/2018,Violations were cited in the following area(s).,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,12,,,04/09/2018,Cycle Inspection / Initial Inspection,40.7508705,-73.9866322
41578619,"MCDONALD'S",MANHATTAN,444,LENOX AVENUE,10037,2122837798,American,07/12/2017,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,33,,,04/09/2018,Cycle Inspection / Initial Inspection,40.8122279,-73.9417675
50047801,SUNFLOWER CAFE,MANHATTAN,676,AMSTERDAM AVE,10025,2127993415,American,03/31/2017,Violations were cited in the following area(s).,04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,13,,,04/09/2018,Cycle Inspection / Initial Inspection,40.792091,-73.972236
41426013,MIMOSA,MANHATTAN,253271,SHERMAN AVENUE,10034,2125440046,American,05/08/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5,A,05/08/2015,04/09/2018,Cycle Inspection / Initial Inspection,40.8650996,-73.9218805
50012416,VEGGIES CAFE,BROOKLYN,524,NOSTRAND AVE,11216,3473651669,Vegetarian,01/13/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,24,,,04/09/2018,Cycle Inspection / Initial Inspection,40.680864,-73.949911
41719137,"Lenny's",MANHATTAN,405,LEXINGTON AVENUE,10174,2126977700,Sandwiches/Salads/Mixed Buffet,12/09/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,8,A,12/09/2016,04/09/2018,Cycle Inspection / Re-inspection,40.7517567,-73.975518
50075654,,BROOKLYN,383,TROUTMAN ST,11237,8054523137,Other,01/01/1900,,,,Not Applicable,,,,04/09/2018,,40.7061425,-73.9235362
41494274,ORIENTAL CHINESE KITCHEN,BROOKLYN,390,NEPTUNE AVENUE,11235,7188918563,Chinese,03/13/2017,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,12,A,03/13/2017,04/09/2018,Cycle Inspection / Re-inspection,40.58034809999999,-73.9670038
50016605,KAVKAZKIY DVORIK,BROOKLYN,2715,AVENUE U,11229,7187697003,Mediterranean,09/26/2016,Violations were cited in the following area(s).,04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,11,A,09/26/2016,04/09/2018,Cycle Inspection / Re-inspection,40.6003624,-73.9442367
40716299,"CHUCK E. CHEESE'S",STATEN ISLAND,1775,SOUTH AVENUE,10314,7184941395,Pizza,04/11/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,04/11/2017,04/09/2018,Cycle Inspection / Re-inspection,40.6000765,-74.1928099
41614641,IL BARETTO,MANHATTAN,750,11 AVENUE,10019,2127572270,Italian,06/21/2017,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,4,A,06/21/2017,04/09/2018,Cycle Inspection / Initial Inspection,40.7675196,-73.99317239999999
40394723,THE ABBEY PUB,MANHATTAN,237,WEST  105 STREET,10025,2122228713,American,12/27/2017,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,39,,,04/09/2018,Cycle Inspection / Initial Inspection,40.8005522,-73.9674607
50044125,LITTLE HOUSE CAFE,QUEENS,9019,CORONA AVE,11373,7185920888,Asian,02/18/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,8,A,02/18/2016,04/09/2018,Pre-permit (Operational) / Re-inspection,40.7419743,-73.874594
41634439,DELHI HEIGHTS,QUEENS,3766,74 STREET,11372,7185071111,Indian,04/02/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,7,A,04/02/2015,04/09/2018,Cycle Inspection / Re-inspection,40.7471124,-73.8916109
41464273,NO. 1 CHINA GARDEN KITCHEN,BRONX,1349,EDWARD L GRANT HIGHWAY,10452,7182935056,Chinese,06/14/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,06/14/2016,04/09/2018,Cycle Inspection / Initial Inspection,40.84014699999999,-73.921679
40391531,TEA AND SYMPATHY,MANHATTAN,108,GREENWICH AVENUE,10011,2129899735,English,09/29/2014,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,12,,,04/09/2018,Cycle Inspection / Initial Inspection,40.73827989999999,-74.00192969999999
41533022,MEI WEI KITCHEN RESTAURANT,QUEENS,8253,BROADWAY,11373,7182057571,Asian,12/10/2015,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,16,B,12/10/2015,04/09/2018,Cycle Inspection / Re-inspection,40.7423216,-73.8812963
41717628,HAILE BRISTRO,MANHATTAN,182,AVENUE B,10009,2126738949,Ethiopian,10/07/2016,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,24,,,04/09/2018,Cycle Inspection / Initial Inspection,40.7277831,-73.9794446
50045963,,MANHATTAN,42,BROADWAY,10004,2125551212,Other,01/01/1900,,,,Not Applicable,,,,04/09/2018,,40.7060744,-74.0128735
50063768,UGU,BROOKLYN,541B,MYRTLE AVE,11205,7188570222,Asian,06/06/2017,Violations were cited in the following area(s).,20D,"Choking first aid poster not posted. Alcohol and pregnancy warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted. Inspection report sign not posted.",Not Critical,,,,04/09/2018,Administrative Miscellaneous / Initial Inspection,40.69390569999999,-73.96282479999999
50050187,BAREBURGER,MANHATTAN,251,E 52ND ST,10022,6462871441,American,10/04/2017,Violations were cited in the following area(s).,04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,12,A,10/04/2017,04/09/2018,Cycle Inspection / Re-inspection,40.7564318,-73.9679039
40374192,"ELIO'S",MANHATTAN,1621,SECOND AVENUE,10028,2127722242,Italian,07/28/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,15,,,04/09/2018,Cycle Inspection / Initial Inspection,40.7768389,-73.9528586
50045207,@ THE SPOT,MANHATTAN,719,2ND AVE,10016,2128181188,Asian,04/05/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,04/05/2018,04/09/2018,Cycle Inspection / Re-inspection,40.7477812,-73.9740158
50066065,LAND OF PLENTY,MANHATTAN,204,E 58TH ST,10022,2123088788,Chinese,07/06/2017,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,22,,,04/09/2018,Pre-permit (Operational) / Initial Inspection,40.76056639999999,-73.96669159999999
50004282,PIZZA HUT,BROOKLYN,8925,AVENUE D,11236,7184510236,Pizza,12/21/2017,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10,A,12/21/2017,04/09/2018,Cycle Inspection / Re-inspection,40.6457128,-73.9130863
50065262,Grab and Go,QUEENS,4025,CRESCENT ST,11101,9177741787,American,07/10/2017,Violations were cited in the following area(s).,15F,,Not Applicable,,,,04/09/2018,Smoke-Free Air Act / Initial Inspection,40.7528849,-73.9383521
50015805,KINGS THEATRE,BROOKLYN,1027,FLATBUSH AVE,11226,7188267834,American,09/29/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,32,,,04/09/2018,Cycle Inspection / Initial Inspection,40.6460037,-73.9573817
41475175,CAFE VIA ESPRESSO,QUEENS,2409,STEINWAY STREET,11103,7185453290,CafÃ©/Coffee/Tea,04/03/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,20,B,04/03/2015,04/09/2018,Cycle Inspection / Re-inspection,40.7686759,-73.9108511
41148810,TROPICAL SPANISH RESTAURANT,MANHATTAN,3771,BROADWAY,10032,2124914300,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04/30/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,6,A,04/30/2015,04/09/2018,Cycle Inspection / Re-inspection,40.8340361,-73.9455421
50053207,FAMILY RESTAURANT,QUEENS,12909,26TH AVE,11354,7183000096,Korean,08/03/2016,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,29,,,04/09/2018,Pre-permit (Operational) / Initial Inspection,40.7730159,-73.7957333
50045793,BROOKLYN KAVA,BROOKLYN,146,WILSON AVE,11237,7047639030,CafÃ©/Coffee/Tea,06/21/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,06/21/2017,04/09/2018,Cycle Inspection / Initial Inspection,40.7004286,-73.92557219999999
50001443,ROW NYC,MANHATTAN,270,W 45 ST,10036,2128693600,American,03/17/2017,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13,A,03/17/2017,04/09/2018,Cycle Inspection / Initial Inspection,40.758944,-73.9880093
40785056,"NEW ANDY'S DELI",MANHATTAN,873,BROADWAY,10003,2124771110,Delicatessen,11/16/2015,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,41,,,04/09/2018,Cycle Inspection / Initial Inspection,40.738142,-73.99035959999999
50039428,BROOKLYN BANH MI,BROOKLYN,557,LORIMER ST,11211,9176565633,Sandwiches,11/20/2015,No violations were recorded at the time of this inspection.,,,Not Applicable,0,,,04/09/2018,Pre-permit (Non-operational) / Initial Inspection,40.7135662,-73.94950639999999
50053337,INDIAN KITCHEN,BROOKLYN,739,GRAND ST,11211,7182187600,Indian,04/04/2018,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,48,,,04/09/2018,Cycle Inspection / Initial Inspection,40.71193770000001,-73.94332399999999
41579144,SALT AND PEPPER DINER,MANHATTAN,139,WEST   33 STREET,10001,2122681919,Middle Eastern,09/11/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,22,,,04/09/2018,Cycle Inspection / Initial Inspection,40.749995,-73.99009360000001
41396668,STAND 218A DELTA SUITE,BRONX,1,EAST  161 STREET,10451,9172843260,American,04/28/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,04/28/2015,04/09/2018,Cycle Inspection / Initial Inspection,40.8288189,-73.9265691
41700337,TASTE OF LAHORE,QUEENS,7310,NORTHERN BOULEVARD,11372,3476241294,Pakistani,03/09/2017,Violations were cited in the following area(s).,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,29,,,04/09/2018,Cycle Inspection / Initial Inspection,40.7545178,-73.8933021
40364576,TOUT VA BIEN,MANHATTAN,311,WEST   51 STREET,10019,2122650190,French,07/27/2016,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,12,A,07/27/2016,04/09/2018,Cycle Inspection / Initial Inspection,40.763406,-73.98621899999999
50032828,POKITO,BROOKLYN,155,S 4TH ST,11211,9179091542,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",05/31/2016,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,19,,,04/09/2018,Cycle Inspection / Initial Inspection,40.7116441,-73.961944
41633093,EL CERRITO DEL CARMEN RESTAURANT,BROOKLYN,2024,MCDONALD AVENUE,11223,7183397907,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11/01/2016,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,62,,,04/09/2018,Cycle Inspection / Initial Inspection,40.6032802,-73.9726033
41561516,OBAO,MANHATTAN,647,9 AVENUE,10036,2122458880,Asian,02/22/2017,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,17,B,02/22/2017,04/09/2018,Cycle Inspection / Re-inspection,40.7606604,-73.99133599999999
40399770,"MICHAEL'S PASTRY SHOP",BROOKLYN,2923,AVENUE R,11229,7183769200,Bakery,03/04/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,22,,,04/09/2018,Cycle Inspection / Initial Inspection,40.6075797,-73.9434332
40399136,ROCKEFELLER U/ABBY BLDG,MANHATTAN,1252,YORK AVENUE,10065,2123278890,American,08/04/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,08/04/2017,04/09/2018,Cycle Inspection / Initial Inspection,40.7637733,-73.9560015
50014469,EMERALD FORTUNE,BROOKLYN,318,KINGS HWY,11223,7187879517,Chinese,04/13/2015,Violations were cited in the following area(s).,04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,24,,,04/09/2018,Cycle Inspection / Initial Inspection,40.60475110000001,-73.9785378
41631713,NEW QQ CAFE AND BAKERY,QUEENS,4257,MAIN ST,11355,7188881990,Bakery,02/28/2018,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,11,A,02/28/2018,04/09/2018,Cycle Inspection / Initial Inspection,40.7537785,-73.8274256
50058806,FRESH 2 GO DELI,MANHATTAN,607,9TH AVE,10036,3473711337,Delicatessen,12/08/2017,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,29,Z,12/08/2017,04/09/2018,Cycle Inspection / Re-inspection,40.75936799999999,-73.99235
50000293,KENNEDY FRIED CHICKEN,BRONX,934,MORRIS AVE,10456,3478759481,Chicken,06/17/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,25,,,04/09/2018,Cycle Inspection / Initial Inspection,40.8273521,-73.9173485
50043671,"PADDY'S OF PARK SLOPE",BROOKLYN,273,13TH ST,11215,7184997553,American,10/31/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,10/31/2017,04/09/2018,Cycle Inspection / Re-inspection,40.6666945,-73.9878436
50070884,,MANHATTAN,425,E 9TH ST,10009,5164174749,Other,01/01/1900,,,,Not Applicable,,,,04/09/2018,,40.727862,-73.983561
41177037,"QUEEN'S PIZZA",QUEENS,11614,QUEENS BOULEVARD,11375,7185445800,Pizza,11/07/2016,Violations were cited in the following area(s).,04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,18,,,04/09/2018,Cycle Inspection / Initial Inspection,40.7155273,-73.8335275
50043723,SAKURA KAI,QUEENS,3515,DITMARS BLVD,11105,7187772188,Japanese,01/29/2018,Violations were cited in the following area(s).,04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,26,,,04/09/2018,Cycle Inspection / Initial Inspection,40.77465979999999,-73.9082533
41105041,YU KING BAKERY,BROOKLYN,2335,86 STREET,11214,7189963888,Chinese,10/11/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,21,B,10/11/2016,04/09/2018,Cycle Inspection / Re-inspection,40.6002693,-73.9905899
41518586,BEDFORD HILL,BROOKLYN,343,FRANKLIN AVENUE,11238,7186367650,American,04/11/2016,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,17,,,04/09/2018,Cycle Inspection / Initial Inspection,40.6876275,-73.9568117
40711118,ESPERANTO RESTAURANT BAR AND JUGO,MANHATTAN,145,AVENUE C,10009,2125056559,Brazilian,07/08/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,43,C,07/08/2015,04/09/2018,Cycle Inspection / Re-inspection,40.7254621,-73.9780487
41683080,MUNDO MAGICO,QUEENS,4905,103 STREET,11368,9172847634,CafÃ©/Coffee/Tea,03/19/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,03/19/2018,04/09/2018,Cycle Inspection / Initial Inspection,40.7439046,-73.8596417
50017524,MESS HALL,MANHATTAN,2194,FRDRCK DGLS BLVD,10026,6466923098,American,12/04/2015,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,32,,,04/09/2018,Cycle Inspection / Initial Inspection,40.8058285,-73.9539762
41598152,TERTULIA,MANHATTAN,359,6 AVENUE,10014,6465599909,Spanish,02/11/2015,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,25,,,04/09/2018,Cycle Inspection / Initial Inspection,40.7322744,-74.00082789999999
50065649,AD HOC COLLECTIVE,MANHATTAN,13,CHRISTOPHER ST,10014,5622603333,CafÃ©/Coffee/Tea,06/13/2017,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,19,,,04/09/2018,Pre-permit (Non-operational) / Initial Inspection,40.7340483,-74.0004721
50059279,CITY VIEW DINER,BRONX,901,SHERIDAN AVE,10451,7185880550,American,02/02/2018,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,18,,,04/09/2018,Cycle Inspection / Initial Inspection,40.8269475,-73.9210791
41706992,RED MANGO,QUEENS,10740,QUEENS BOULEVARD,11375,3476445289,"Ice Cream, Gelato, Yogurt, Ices",11/07/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,,,04/09/2018,Cycle Inspection / Initial Inspection,40.7213201,-73.8450536
50001262,BRYANT PARK GRILL,MANHATTAN,25,WEST 40TH STREET,10018,2122068805,American,04/01/2016,Violations were cited in the following area(s).,04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,19,,,04/09/2018,Cycle Inspection / Initial Inspection,40.7531999,-73.982957
40596377,LOS PAPIS RESTAURANT,BROOKLYN,77,BRIDGE STREET,11201,7185966965,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",08/17/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,11,A,08/17/2015,04/09/2018,Cycle Inspection / Initial Inspection,40.702098,-73.98454
50035987,BEIJING DUMPLING,QUEENS,8838,SUTPHIN BLVD,11435,7182972935,Chinese,03/06/2018,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,25,,,04/09/2018,Cycle Inspection / Initial Inspection,40.7039984,-73.80904199999999
41708729,ENERGY FUEL CAFE,BROOKLYN,606,5 AVENUE,11215,7184996999,American,06/23/2015,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,29,,,04/09/2018,Cycle Inspection / Initial Inspection,40.6639552,-73.9909816
41108812,44 1/2 CAFE,MANHATTAN,626,10 AVENUE,10036,2123994450,American,09/16/2014,Violations were cited in the following area(s).,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",Not Critical,,,,04/09/2018,Administrative Miscellaneous / Re-inspection,40.7611219,-73.9940447
50015835,KAPPO MASA,MANHATTAN,976,MADISON AVE,10075,2128239807,Japanese,09/22/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,21,,,04/09/2018,Cycle Inspection / Initial Inspection,40.7745487,-73.96360039999999
50047801,SUNFLOWER CAFE,MANHATTAN,676,AMSTERDAM AVE,10025,2127993415,American,05/17/2017,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A,05/17/2017,04/09/2018,Cycle Inspection / Re-inspection,40.792091,-73.972236
