CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,LAT,LON
40615828,THE BOWERY BALLROOM,MANHATTAN,6,DELANCEY STREET,10002,2125332111,American,03/12/2014,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,40.7023856,-73.811117
40367789,DANI PIZZA AND RESTAURANT,QUEENS,8128,LEFFERTS BOULEVARD,11415,7188462849,Pizza,03/12/2014,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,40.7089715,-73.8305343
40397075,EXCELSIOR CATERING,STATEN ISLAND,2380,HYLAN BOULEVARD,10306,7189874800,American,03/12/2014,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,28,40.7291105,-73.9540066
40560302,SERAFINA FABULOUS PIZZA,MANHATTAN,1022,MADISON AVENUE,10075,2127342676,Italian,03/12/2014,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,40.7367179,-73.9551087
40653502,V-BAR & CAFE,MANHATTAN,225,SULLIVAN STREET,10012,2122535740,American,03/12/2014,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,40.7487322,-74.0100378
40397810,OLYMPIA,QUEENS,2344,STEINWAY STREET,11105,7182784460,American,04/08/2014,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",Not Critical,,40.7794797,-73.9601024
40397810,OLYMPIA,QUEENS,2344,STEINWAY STREET,11105,7182784460,American,04/08/2014,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,10,40.7794797,-73.9601024
40424765,FRANCO BAKERY,BRONX,527,EAST  138 STREET,10454,7189934200,Bakery,04/10/2014,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,15,40.7144841,-74.0121556
40747162,ISLAND SHORES,STATEN ISLAND,1111,FATHER CAPPDANO BLVD,10306,7189876595,American,04/12/2014,Proper sanitization not provided for utensil ware washing operation.,Not Critical,10,40.7059607,-74.0067715
40365355,NEW CORNER,BROOKLYN,7201,8 AVENUE,11228,7188330800,Italian,04/12/2014,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,11,40.729795,-74.001043
40545786,PASTA PASTA RESTAURANT,BRONX,2023,WILLIAMSBRIDGE ROAD,10461,7188929634,Italian,04/12/2014,Hot food item not held at or above 140Âº F.,Critical,12,40.7638592,-73.9152218
40613196,TANJIA HUKKA BAR,BROOKLYN,1752,BATH AVENUE,11214,7188376685,CafÃ©/Coffee/Tea,05/03/2014,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,,40.7464299,-74.0017575
40391528,SZECHUAN DELIGHT RESTAURANT,BROOKLYN,152,7 AVENUE,11215,7187885408,Chinese,05/09/2014,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13,40.7540255,-73.9895336
40391528,SZECHUAN DELIGHT RESTAURANT,BROOKLYN,152,7 AVENUE,11215,7187885408,Chinese,05/09/2014,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,13,40.7540255,-73.9895336
40718557,DELMONICOS,MANHATTAN,56,BEAVER STREET,10004,2125190144,Italian,05/11/2014,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,11,40.7610872,-73.9230271
40398586,JOSEPH'S RISTORANTE,MANHATTAN,3,HANOVER SQUARE,10004,2127471300,Italian,06/10/2014,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,20,40.690867,-73.838083
40401999,TIERRAS COLOMBIANAS,QUEENS,3301,BROADWAY,11106,7189563012,Spanish,06/10/2014,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,6,40.7843627,-73.9778376
40533002,DESSEO NIGHT CLUB,QUEENS,5215,ROOSEVELT AVENUE,11377,7184585600,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",07/02/2014,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,15,40.7261914,-73.7186539
40392927,NATIONAL RESTAURANT & CATERING,BROOKLYN,273,BRIGHTON BEACH AVE,11235,7186461225,Russian,07/08/2014,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,29,40.7394032,-74.0022281
40659340,SEOUL GARDEN,MANHATTAN,34,WEST   32 STREET,10001,2127369002,Korean,07/10/2014,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,21,40.6253004,-73.9757944
40482599,SCHOENFIELD,MANHATTAN,236,WEST   45 STREET,10036,2125867610,American,07/10/2014,,Not Applicable,0,40.764407,-73.9587869
40659340,SEOUL GARDEN,MANHATTAN,34,WEST   32 STREET,10001,2127369002,Korean,07/10/2014,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,21,40.839972,-73.9165491
40402899,GLEN TERRACE,BROOKLYN,5313,AVENUE N,11234,7182524614,American,07/11/2014,Live roaches present in facility's food and/or non-food areas.,Critical,17,40.7768732,-73.9122415
40607341,STEINWAY BILLIARD,QUEENS,3525,STEINWAY STREET,11101,7184722124,American,08/10/2014,Food contact surface not properly maintained.,Not Critical,12,40.792409,-73.9738835
40730585,DEUX AMIS,MANHATTAN,356,EAST   51 STREET,10022,2122301117,French,08/11/2014,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,40.747577,-74.0086437
40402756,THE UNIVERSITY CLUB,MANHATTAN,1,WEST   54 STREET,10019,2125723467,American,08/12/2014,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,19,40.5890177,-74.0889411
40402397,THE RIVER CLUB,MANHATTAN,447,EAST   52 STREET,10022,2127510100,American,08/12/2014,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",Not Critical,,40.8175016,-73.9419869
40402397,THE RIVER CLUB,MANHATTAN,447,EAST   52 STREET,10022,2127510100,American,08/12/2014,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,52,40.8175016,-73.9419869
40564625,WAKAMBA,MANHATTAN,543,8 AVENUE,10018,2125642042,American,08/12/2014,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,28,40.8427309,-73.9383113
40400610,MOUSTACHE RESTAURANT,MANHATTAN,90,BEDFORD STREET,10014,2122292220,Mediterranean,08/12/2014,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,9,40.7323981,-74.0053175
40610212,BUZZ,BROOKLYN,103,EMPIRE BOULEVARD,11225,7189417220,Caribbean,09/05/2014,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,,40.6661617,-73.8835983
40746628,ORIGINAL VEGETARIAN RESTAURANT,BROOKLYN,752,NOSTRAND AVENUE,11216,7187786660,Vegetarian,09/05/2014,Food contact surface not properly maintained.,Not Critical,23,40.7307303,-73.9866071
40635976,LATIN BAKERY,QUEENS,4141,MAIN STREET,11355,7189618900,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",09/07/2014,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,61,40.7680676,-73.9552005
40592207,PICASSO PIZZERIA,MANHATTAN,303,SOUTH END AVENUE,10280,2123212616,Pizza/Italian,09/09/2014,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,12,40.70897,-73.799377
40592207,PICASSO PIZZERIA,MANHATTAN,303,SOUTH END AVENUE,10280,2123212616,Pizza/Italian,09/09/2014,Live roaches present in facility's food and/or non-food areas.,Critical,12,40.70897,-73.799377
40592566,FRED'S,MANHATTAN,476,AMSTERDAM AVE,10024,2125793076,American,09/09/2014,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,18,40.7435454,-73.9189444
40681411,JOE'S SHANGHAI RESTAURANT,MANHATTAN,24,WEST   56 STREET,10019,2123333868,Chinese,09/12/2014,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,70,40.6788151,-74.0057
40681411,JOE'S SHANGHAI RESTAURANT,MANHATTAN,24,WEST   56 STREET,10019,2123333868,Chinese,09/12/2014,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,70,40.7287529,-74.0050629
40685819,DUNKIN' DONUTS,STATEN ISLAND,1769,ARTHUR KILL ROAD,10312,7186056799,Donuts,09/12/2014,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,40.8057481,-73.9659486
40546676,METROPOLITAN FOOD CAFE OF BROOKLYN COLLEGE,BROOKLYN,2900,BEDFORD AVENUE,11210,7189514348,American,10/09/2014,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,40.7313345,-74.001914
40546676,METROPOLITAN FOOD CAFE OF BROOKLYN COLLEGE,BROOKLYN,2900,BEDFORD AVENUE,11210,7189514348,American,10/09/2014,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,40.7313345,-74.001914
40736385,MCDONALD'S,BROOKLYN,2797,LINDEN BOULEVARD,11208,7188274227,Hamburgers,10/09/2014,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,9,40.753594,-73.9884515
40565973,BAR VIRAGE,MANHATTAN,118,2 AVENUE,10003,2122530425,American,10/09/2014,Wiping cloths soiled or not stored in sanitizing solution.,Critical,13,40.8473634,-73.9004847
40752293,AMERICAN COFFEE SHOP,BROOKLYN,108,MOORE STREET #3,11206,7183020784,Spanish,10/10/2014,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,27,40.6540192,-73.8866531
40737935,STARBUCKS,MANHATTAN,1345,AVENUE OF THE AMERICAS,10105,2122658610,CafÃ©/Coffee/Tea,10/11/2014,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,16,40.7057092,-74.0074731
40367870,AMORE PIZZERIA & RESTAURANT,QUEENS,3027,STRATTON STREET,11354,7184450579,Pizza/Italian,10/11/2014,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,11,40.8502883,-73.8786113
40385555,200 FIFTH AVENUE RESTAURANT & SPORTS BAR,BROOKLYN,200,5 AVENUE,11217,7186382925,American,11/06/2014,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,19,40.7290155,-73.9871139
40538565,FOUR SEASONS HOTEL,MANHATTAN,57,EAST   57 STREET,10022,2127585700,American,11/08/2014,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,40.639108,-74.019712
40638039,LEGENDS BAR & GRILL,QUEENS,7104,35 AVENUE,11372,7188999553,American,11/08/2014,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,28,40.650678,-73.929917
40560933,TOWN HALL THEATRE,MANHATTAN,123,WEST   43 STREET,10036,2125867610,American,11/10/2014,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,40.6328771,-74.026915
40482596,BROADHURST THEATER,MANHATTAN,235 WEST,44th Street,10036,2125867610,American,11/12/2014,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,38,40.6784161,-73.7766592
40396159,CARMINE'S,MANHATTAN,200,WEST   44 STREET,10036,2122213800,Italian,12/06/2014,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,19,40.6626707,-73.9847682
40373909,MCDONALD'S,BROOKLYN,5804,CLARENDON ROAD,11203,7184510834,Hamburgers,12/08/2014,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,17,40.6449243,-73.9215795
40578773,JOHN'S PIZZA,MANHATTAN,260,WEST   44 STREET,10036,2123917560,Pizza,12/08/2014,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,53,40.7806256,-73.9818092
40746890,DOMINO'S,BROOKLYN,1972,FLATBUSH AVENUE,11234,7186922000,Pizza,12/09/2014,Wiping cloths soiled or not stored in sanitizing solution.,Critical,10,40.6558327,-74.0067298
40692361,ANDREW'S COFFEE SHOP,BROOKLYN,901,CHURCH AVENUE,11218,7186931740,American,12/09/2014,Live roaches present in facility's food and/or non-food areas.,Critical,20,40.7608724,-73.9911983
40368552,SAMMY'S STEAKHOUSE,MANHATTAN,155157,CHRISTIE ST.,10002,2126730330,Steak,12/11/2014,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,40.7179447,-73.9982453
40622348,P&S BAKERY RESTAURANT,BROOKLYN,917,UTICA AVENUE,11203,7184852020,Caribbean,12/11/2014,Proper sanitization not provided for utensil ware washing operation.,Not Critical,23,40.7250319,-73.9784919
40622348,P&S BAKERY RESTAURANT,BROOKLYN,917,UTICA AVENUE,11203,7184852020,Caribbean,12/11/2014,Hot food item not held at or above 140Âº F.,Critical,23,40.7250319,-73.9784919
40622348,P&S BAKERY RESTAURANT,BROOKLYN,917,UTICA AVENUE,11203,7184852020,Caribbean,12/11/2014,Live roaches present in facility's food and/or non-food areas.,Critical,23,40.7250319,-73.9784919
40664052,CIRCA TABAC,MANHATTAN,32,WATTS STREET,10013,2129411781,American,12/11/2014,"Nuisance created or allowed to exist. Facility not free from unsafe, hazardous, offensive or annoying conditions.",Not Critical,,40.7487322,-74.0100378
40622348,P&S BAKERY RESTAURANT,BROOKLYN,917,UTICA AVENUE,11203,7184852020,Caribbean,12/11/2014,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,23,40.753062,-73.9772273
40694767,NEW YORK LUNCHEONETTE,MANHATTAN,135,EAST   50 STREET,10022,2128380165,American,12/12/2014,Canned food product observed dented and not segregated from other consumable food items.,Not Critical,7,40.7627089,-73.9759419
40379566,LONDON LENNIES,QUEENS,6388,WOODHAVEN BOULEVARD,11374,7188948084,Seafood,01/04/2015,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,27,40.6064692,-73.9653315
40393985,MANETTA'S RISTORANTE,QUEENS,1076,JACKSON AVENUE,11101,7187866171,Italian,01/04/2015,Live roaches present in facility's food and/or non-food areas.,Critical,12,40.6282928,-74.0293352
40514147,CREATIVE EDGE CATERERS,MANHATTAN,110,BARROW STREET,10014,2127413000,American,01/04/2015,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8,40.7065894,-74.0130048
40361322,CARVEL ICE CREAM,QUEENS,26515,HILLSIDE AVENUE,11004,7183430392,"Ice Cream, Gelato, Yogurt, Ices",01/04/2015,Food Protection Certificate not held by supervisor of food operations.,Critical,23,40.7386137,-73.7032606
40392685,DOJO RESTAURANT,MANHATTAN,10,WEST 4 STREET,10012,2125058934,Japanese,01/05/2015,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,45,40.5738396,-74.1155613
40365348,PANCHITO'S,MANHATTAN,103,MACDOUGAL STREET,10012,2124735239,Mexican,01/05/2015,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,40.729795,-74.001043
40732696,GIACOMO FINE FOODS,MANHATTAN,269,WEST   72 STREET,10069,2127996828,American,01/05/2015,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,21,40.7508121,-73.9755335
40403880,CAFE 101 16TH FLOOR CAFETERIA,MANHATTAN,101,BARCLAY STREET,10007,2128152250,American,01/05/2015,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,32,40.7571436,-73.979301
40394701,THE END ZONE BAR,QUEENS,14944,14 AVENUE,11357,7187469654,American,01/06/2015,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,40.6249682,-73.961751
40600383,FERRARA'S,MANHATTAN,195,GRAND STREET,10013,2122266150,Bakery,01/06/2015,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9,40.6346242,-74.023223
40711561,MAKE MY CAKE,MANHATTAN,2380,ADAM CLAYTON POWELL BOULEVARD,10030,2122342344,Bakery,01/06/2015,,Not Applicable,,40.6781274,-73.9853371
40741967,TONG HAI TUNG BAKERY,QUEENS,4112,MAIN STREET,11355,7183588878,Bakery,01/06/2015,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9,40.7513626,-73.9407123
40571081,ARCHER SPORTS BAR,BRONX,1511,WHITE PLAINS ROAD,10462,7187923870,American,01/06/2015,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,41,40.756192,-73.881339
40560112,EL MALECON RESTAURANT,MANHATTAN,764,AMSTERDAM AVENUE,10025,2128645648,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",01/06/2015,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,40.756888,-73.9917742
40395152,UNCLE VANYA,MANHATTAN,315,WEST   54 STREET,10019,2122620542,Russian,01/06/2015,Food Protection Certificate not held by supervisor of food operations.,Critical,50,40.760797,-73.9838272
40385873,RAY'S PIZZA,MANHATTAN,829-831,7 AVENUE,10019,2129749381,Pizza,01/06/2015,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,12,40.784961,-73.95564
40395152,UNCLE VANYA,MANHATTAN,315,WEST   54 STREET,10019,2122620542,Russian,01/06/2015,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,50,40.8936127,-73.8569532
40545967,TASTEE CORNER,QUEENS,3020,30 AVENUE,11102,7182747704,American,01/07/2015,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,17,40.5901599,-73.9712258
40365226,NOSTRAND DONUT SHOP,BROOKLYN,1449,NOSTRAND AVENUE,11226,7188263008,Donuts,01/07/2015,Live roaches present in facility's food and/or non-food areas.,Critical,17,40.6509823,-73.9493594
40734383,AVRA ESTIATORIO,MANHATTAN,145,EAST   48 STREET,10017,2127598550,Greek,01/07/2015,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13,40.7269523,-73.983437
40645073,LA SABROSURA,BRONX,25,EAST  170 STREET,10452,7182937891,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",01/07/2015,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,66,40.7317265,-73.9996036
40397775,BAMBOO GARDEN,QUEENS,10704,ATLANTIC AVENUE,11416,7188491611,Caribbean,01/07/2015,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,10,40.7324039,-73.9938591
40645073,LA SABROSURA,BRONX,25,EAST  170 STREET,10452,7182937891,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",01/07/2015,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,66,40.733016,-73.9935743
40601159,PERFECTO PIZZERIA,MANHATTAN,2479,BROADWAY,10025,2127216130,Pizza/Italian,01/07/2015,Live roaches present in facility's food and/or non-food areas.,Critical,11,40.750568,-73.993519
40399911,LENNY'S PIZZA,BROOKLYN,1969,86 STREET,11214,7189461292,Pizza,01/07/2015,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,40.7596814,-73.9847235
40388419,FAMOUS FAMIGLIA PIZZERIA,MANHATTAN,2859,BROADWAY,10025,2128651234,Pizza,01/07/2015,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,7,40.773716,-73.959504
40401454,PARIS GOURMET DELI,QUEENS,4911,VERNON BOULEVARD,11101,7184720303,American,01/07/2015,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,40.7430199,-73.9538229
40743370,DOMINO'S,BROOKLYN,7722,13 AVENUE,11228,7188339222,Pizza,01/08/2015,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,22,40.7264276,-73.9858148
40560896,YAKITORI TAISHO,MANHATTAN,5,ST MARKS PLACE,10003,2122285086,Japanese,01/09/2015,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,12,40.6549109,-74.0041043
40381720,MISS LILY'S 7A,MANHATTAN,109,AVENUE A,10009,2128121482,Caribbean,01/09/2015,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,29,40.6669542,-73.9812534
40381720,MISS LILY'S 7A,MANHATTAN,109,AVENUE A,10009,2128121482,Caribbean,01/09/2015,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,29,40.6669542,-73.9812534
40587273,DUNKIN' DONUTS,QUEENS,4513,QUEENS BOULEVARD,11104,7184827282,Donuts,01/09/2015,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,16,40.7294474,-73.9889945
40716188,PIZZA HUT,QUEENS,14419,NORTHERN BOULEVARD,11354,7188862244,Pizza,01/09/2015,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,17,40.7303784,-74.0003231
